source_folder,filename,size_MB,last_modified,sha256,used_in_paper
ablation_checkpoints,C1_crop_only_seed42.pth,334.2,2026-08-14 00:53,13d5af00b2b7069c986c87d74871abc87513415feecf0468b84f6db79056a906,"Ablation -- C1 crop only, seed 42"
ablation_checkpoints,C1_crop_only_seed123.pth,334.2,2026-08-14 08:21,d05329bfd0f2515b1a9d7df53125b1f8fcdfc93d77f7fc517d0136af9a0df23e,"Ablation -- C1 crop only, seed 123"
ablation_checkpoints,C1_crop_only_seed2026.pth,334.2,2026-08-14 15:48,50ece5c2d1d2b30620b05cb4e3dfa8eba6e6a0fe8cc8e2db666615aa16d3958c,"Ablation -- C1 crop only, seed 2026"
ablation_checkpoints,C2_bce_only_seed42.pth,334.2,2026-08-14 23:18,53ffebf352fc95fee35dc76470ad10daa798df90bb00aacbd05b215b37cd64cb,"Ablation -- C2 loss only, seed 42"
ablation_checkpoints,C2_bce_only_seed123.pth,334.2,2026-08-15 06:45,e2e865d6ddc20e6c4e15c49d6033133441ae5900599452c8952e8dd07a94ab56,"Ablation -- C2 loss only, seed 123"
ablation_checkpoints,C2_bce_only_seed2026.pth,334.2,2026-08-15 14:13,2f3e79a540673c50711b863ecfff728671e5ccffe8f4f003264fa69717b7bfa7,"Ablation -- C2 loss only, seed 2026"
ablation_checkpoints,C3_schedule_only_seed42.pth,334.2,2026-08-15 21:44,f019273e688cb3003f62d1c2a336bc7efa6f6c98fdf5ad3e1015ccf3a131551b,"Ablation -- C3 schedule only, seed 42"
ablation_checkpoints,C3_schedule_only_seed123.pth,334.2,2026-08-16 05:13,95c31ef5b1d3ad89d07afe53df8b9ab626fdb5a2123ed1aca79c40bb36021ea7,"Ablation -- C3 schedule only, seed 123"
ablation_checkpoints,C3_schedule_only_seed2026.pth,334.2,2026-08-16 12:42,3f4210870065a0cc1dbac36175662ad2fc6a7d53aba9dca9fe3ac6940251cf66,"Ablation -- C3 schedule only, seed 2026"
ablation_checkpoints,C4_noaug_only_seed42.pth,334.2,2026-08-16 20:14,a276f2afb15654922844f498fef5e8e389579c85e121ff4d44038ca4d40e80e7,"Ablation -- C4 augmentation removed, seed 42"
ablation_checkpoints,C4_noaug_only_seed123.pth,334.2,2026-08-17 03:43,71d8c0da0a73f465143feb5c1e7d7a9ef53b68bef41dd7b5af8c56577dcd7ab6,"Ablation -- C4 augmentation removed, seed 123"
ablation_checkpoints,C4_noaug_only_seed2026.pth,334.2,2026-08-17 11:12,16b145692b48d9f3bd8e759c5751552dfc9539f9d5c1a285f2f44cbe411b537e,"Ablation -- C4 augmentation removed, seed 2026"
ablation_checkpoints,C5_crop_bce_seed42.pth,334.2,2026-08-17 19:25,7c4150ca1a400e3424bd7b0717f6ded3ccbcec52c6fc22ac117091c9b3eacb7c,"Ablation -- C5 crop + loss, seed 42"
ablation_checkpoints,C5_crop_bce_seed123.pth,334.2,2026-08-18 02:09,afc8f33e6fd4baf580a40bb0b364afc3a8450ef5c50f17216e18c06fde81822f,"Ablation -- C5 crop + loss, seed 123"
ablation_checkpoints,C5_crop_bce_seed2026.pth,334.2,2026-08-18 10:21,7777ede803bb380b28f8381a7206978e08290b7697d34e7e427779506e71740b,"Ablation -- C5 crop + loss, seed 2026"
ablation_checkpoints,C6_full_combined_seed42.pth,334.2,2026-08-18 17:06,c1f5d6117025179a81e0370b8210604f4b203ffcd632ba0a87e68d97410e47a8,"Ablation -- C6 full combination, seed 42"
ablation_checkpoints,C6_full_combined_seed123.pth,334.2,2026-08-19 00:33,8675400df00b5c6a68978fb9200871691e6d3b8a4f89ec47bf6afe2cef643b51,"Ablation -- C6 full combination, seed 123"
ablation_checkpoints,C6_full_combined_seed2026.pth,334.2,2026-08-19 08:00,063ae9f12f139316206a25b8096c6203e09ad4f022b390ad1e0675a493ff324d,"Ablation -- C6 full combination, seed 2026"
NOT_AVAILABLE,(never uploaded),,,,"Table 4 -- ResNet-50, ImageNet (pure) -- trained locally by the student before migrating to the GPU server; checkpoint was never uploaded and is not recoverable. Only the metrics reported in Table 4 are verifiable for this configuration, not the model itself."
NOT_AVAILABLE,(never uploaded),,,,"Table 4 -- DenseNet-121, ImageNet (pure) -- trained locally by the student before migrating to the GPU server; checkpoint was never uploaded and is not recoverable. Only the metrics reported in Table 4 are verifiable for this configuration, not the model itself."
